,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Hour
1210,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_003000.WAV,GRABADOR-SDZG-AM-1,20190625_003000.WAV,46080360,1,1,384000,768000,16,25.06.2019 00:30,60.00046875,,Recorded at 00:30:00 25/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:51:04-08:00,WAV,WAV,audio/x-wav,0
1792,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190629_013000.WAV,GRABADOR-SDZG-AM-1,20190629_013000.WAV,46080360,1,1,384000,768000,16,29.06.2019 01:30,60.00046875,,Recorded at 01:30:00 29/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:09:22-08:00,WAV,WAV,audio/x-wav,1
1223,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190625_024000.WAV,GRABADOR-SDZG-AM-1,20190625_024000.WAV,46080360,1,1,384000,768000,16,25.06.2019 02:40,60.00046875,,Recorded at 02:40:00 25/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:51:29-08:00,WAV,WAV,audio/x-wav,2
1373,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190626_034000.WAV,GRABADOR-SDZG-AM-1,20190626_034000.WAV,46080360,1,1,384000,768000,16,26.06.2019 03:40,60.00046875,,Recorded at 03:40:00 26/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:56:13-08:00,WAV,WAV,audio/x-wav,3
657,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190621_042000.WAV,GRABADOR-SDZG-AM-1,20190621_042000.WAV,46080360,1,1,384000,768000,16,21.06.2019 04:20,60.00046875,,Recorded at 04:20:00 21/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:33:43-08:00,WAV,WAV,audio/x-wav,4
2101,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190701_050000.WAV,GRABADOR-SDZG-AM-1,20190701_050000.WAV,46080360,1,1,384000,768000,16,01.07.2019 05:00,60.00046875,,Recorded at 05:00:00 01/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:19:05-08:00,WAV,WAV,audio/x-wav,5
235,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190618_060000.WAV,GRABADOR-SDZG-AM-1,20190618_060000.WAV,46080360,1,1,384000,768000,16,18.06.2019 06:00,60.00046875,,Recorded at 06:00:00 18/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:20:26-08:00,WAV,WAV,audio/x-wav,6
534,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190620_075000.WAV,GRABADOR-SDZG-AM-1,20190620_075000.WAV,46080360,1,1,384000,768000,16,20.06.2019 07:50,60.00046875,,Recorded at 07:50:00 20/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:29:52-08:00,WAV,WAV,audio/x-wav,7
1401,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190626_082000.WAV,GRABADOR-SDZG-AM-1,20190626_082000.WAV,46080360,1,1,384000,768000,16,26.06.2019 08:20,60.00046875,,Recorded at 08:20:00 26/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:57:06-08:00,WAV,WAV,audio/x-wav,8
1550,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190627_091000.WAV,GRABADOR-SDZG-AM-1,20190627_091000.WAV,46080360,1,1,384000,768000,16,27.06.2019 09:10,60.00046875,,Recorded at 09:10:00 27/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:01:47-08:00,WAV,WAV,audio/x-wav,9
